id,series,chapter,panel,sfx_en,sfx_ua,context,intensity,notes
1,KHwRtS,73,1,pop,ам,voice,2,smth delicious 
2,KHwRtS,73,5,hee hee,хі-хі,voice,2,smiling
3,,,8,clap,плесь,motion,,emotional
,,,9,munch,хрум,voice,1,
,,,9,gulp,ковть,voice,1,
,,,10,woo,ууу,voice,2,"fun, not scared"
,,,10,whirl,круть,object,1,movement of a machine 
,,,11,gasp,ох!,voice,2,unexpected
,,,11,turn,круть,motion,1,movement of a person 
,,,12,bdmp,бадум,body,2,nervous 
,,,13,mmm,мгм,voice,2,jealous
,,,15,blush,рум'янець,body,2,
,,,16,mumble,бурмоче,voice,1,
,,,18,squeeze,стиск,motion,2,
,,,17,turn,круть,motion,1,movement of a person 
,,,14,mmm,мгм,voice,1,
